ID, Months Active, Reviews, Average Review, Votes, Friends 
rWEzjsSvYb1IsRphYb9Ceg,46,2,1,9,0
ll5EJtl1cDHiWub8X_xrPA,44,8,5,3,0
FBE0gDdN4fZH-6uo-mWgPQ,43,113,4.17,114,3
FFlwkXeb4n-PPpkH6d3dnA,36,3,2.67,4,0
xWSPLhZ51yvsuPBFuBhxCQ,92,33,3.94,52,0
dZavkc1IEyYxbniRArjbYw,54,7,3.71,9,6
m2-vUQY3Japa-CouRsRu5w,29,1,4,0,0
VVsuCYRKmQ34t5_WSyaR5A,41,4,3.5,10,3
4Exn9Kdua3n8VIwwwBb0hA,64,3,3.5,0,0
AC84oF7Ciuw7M52RszgWUA,113,70,3.89,203,2
ingvUd2nlaEF3nmMvTrvgQ,53,4,5,6,0
72OdAJ2eQYecT91OdJXyfQ,81,29,3.9,101,0
bKrPlidX132aAI_UNAhCfA,68,16,3.71,62,0
T3yR0xYaj_eibS385G_R-w,31,18,3.68,38,1
rNzZoCoJAIsQU28lD62gGQ,27,89,3.58,99,0
O7TkOB9e4s_5xXimlNxfDQ,60,1,5,4,0
XlygLKUz_ueEkq4CLi4jOg,24,3,5,2,0
K88gnx3gt6vnG0voqQvUyw,46,7,3.67,20,0
U10F_bEuL7J3SUTtO_3XHQ,45,1,5,0,2
SK1tcD13uGe-2pVtJCjpag,53,6,5,6,0
iPDBT_k_9NL_b34hpjy-gg,37,19,2.84,16,1
XWzF4wam-7OJEgoPO_jHiQ,39,1,1,1,2
TgOx2YOoPs9TX16BgAjYQg,74,6,3.67,7,0
p_n5gwvyOGnGbCyAYsj74g,47,8,3.71,0,3
4OnussgeseojRRimclMnSA,55,9,3.11,14,4
lINtxEY5Dm4UD9jbciJbBg,92,21,2.95,79,0
#NAME?,45,153,3.76,304,15
pCQz3sc_7rI-be4-Ek6SRg,74,18,4.29,23,99
1MXBsYJr8a2IzMT0Dp9rdQ,64,52,3.56,26,0
RlrG9LyVDybJWgUiz4axxQ,41,2,5,2,0
VIVyJX92MmanRMOHkpm-sA,13,4,3.67,0,0
Q-kw41pmxwNCBQ63Y-FIpA,51,8,4.75,6,2
iskInwaFOhpRsoKn2waIdg,30,1,5,1,0
3-vjuwS6bEurZONd5xeo1g,63,2,5,1,5
b35fzV7F43qt5Q1PY_R_Nw,38,8,3.71,6,2
0Lcs_TYP-kJNPYiQlsO6UA,26,4,3,1,0
5_uVM3gLDRdJrf2xuAiOBQ,32,8,2.62,10,0
ekVcadzsYQcUzaVmUgioZQ,35,2,5,5,2
JNAzYLB6OvCZLYlIPDo03g,80,28,2.79,152,7
ww87ZVtgl710hW2vOqw7qg,38,5,3.6,16,0
z9N-DIPmfsw5sakdlHtt6g,47,3,3.67,25,0
QIwsalyCsBiiVIEHW4sc3w,18,2,5,1,0
H8I48jAArQj5IYYBFPDwIQ,54,129,3.78,59,6
TKI_QvXa9orMhz4ABBiHvQ,21,1,5,2,0
vQJgk31IHWCyCMdtAPzw-w,7,1,5,0,0
oAtedgizn1v4pP2HCf2DDA,34,4,3.25,3,0
Ohs0L7Oyz-N8GLxVhhV1kw,25,37,4.57,39,0
kqbAR7hVxbENHTNJIkGH2Q,49,2,5,9,1
7gb62_8We3I5zVLAWxkgMg,34,1,5,0,2
Lda1_6Rkfe4P1J7XibaY4A,49,5,1.8,26,3
9i02xIe7db6MV1OdJpjQcQ,25,10,3.5,6,0
OnBQcKqd4IbxVCFFVO7viQ,13,6,3.83,0,0
J5oUCKzslgQDg6ByXveDCA,50,3,4.5,3,1
4wWTGMbH8dL914KarGRVxw,24,4,4.75,1,0
LoaI9fEe7MNsek66-ANP5w,48,13,3.85,17,0
PSeJKgfNRUSh6GuVnr1E1A,27,3,5,1,4
A-w9BwZHo9kFYXHfGK7_cA,70,32,2.79,51,0
Th0A4wIuGwHf4W7-rQR9gw,19,4,3.75,1,0
MP-kuWFYjHnjQUkwZyxJCQ,70,103,3.3,208,0
YU0yJh4kQKv58qj08saJtA,48,63,3.59,59,0
P13sK8D1mr4DnM9Fnm4nTA,36,1,5,0,4
gb6zSqA3OfETc1bgazDLwg,49,3,4.5,4,3
Tz-kyc8EAJ-S2cuEBtCBCA,12,2,5,7,0
Wy3QFknCHQ_ln39OFi9B-Q,36,2,3,1,0
bPCo3Dom-QzYPR8xJymWTQ,41,6,2.25,26,0
hy_C0U75FpVaPVkkEflPXg,32,2,2.5,10,1
3BT0SAlXM1rfIIs6LGlGMw,90,42,3.69,58,0
aIoobaKvshFQQDuguEL3_Q,52,17,3.94,24,0
cCNucgcprU1pEr_TH5qfaw,58,55,4.02,141,8
j5XkmG4Wj99wGZ7KDiNEhw,28,1,5,0,0
DrMxM5fdfRPT7VN72VlEwQ,48,10,3.7,11,0
uz-Ayqlumgj_jFlunTXUGA,29,1,1,1,0
UkvDAy73Y_UfGAZaQQRaEg,20,3,4.5,1,0
6C7IdQ4zldaf09plBURcrQ,56,1,5,1,0
gO6P-k7UjFfzV37aXZI0Ow,30,8,3.38,6,0
kdIBjyIKisbe1Dc6WFAe6w,8,2,5,2,0
ZNuAQq-84KCxlmPWkugoBQ,20,28,4.23,58,1
pRHtVQTyNzz8oWULLwbwOw,16,1,5,2,0
a0pG_Dl4sKb3yNps7I_hMQ,99,186,3.94,288,4
MDwdZpmlnM2g18qoIzfJAg,17,8,4.83,3,0
k1rxeYKDeTI8Orav2Dsiaw,48,9,3.67,6,0
prNDsstT2y8g5lT2LG9NPw,48,11,3.9,18,1
fOnuCvEPM1sfkWBNI4ne3A,10,2,3,4,1
52K6BxAo_gLrttiwtcxcPg,19,1,5,4,0
a8SprmfnrFmIfDuhC3BfDA,52,49,4.24,41,3
vktGo1HGeFVoIvZ1K34a_Q,42,31,3.45,27,5
KH-KeYKyD930J9-FfSJqOg,51,1,5,2,1
4VaskLw9ByZSJhRnC4mwJg,49,1,5,0,1
rCPeEu2FNDZQCzwNpTZaqw,45,19,4.65,49,0
ww3HfMphR7_R5pyDBBJ_LA,17,6,2.33,2,0
_23_qjyBMd1T82zEYr8CUA,21,1,1,2,0
oOayyTrVO-PbVeXXsh_JEQ,32,789,3.86,10669,41
_KUclCeH47THrV8FiKSzdg,25,11,3.5,22,0
yJm4kh4wrdc-a7KuErfqxQ,97,772,3.84,10408,50
aHURE5t8X27utxMQmAExjA,10,2,5,4,0
DBnknbRdypIelDfxzRM-xQ,37,1,5,5,0
UQj7Yw-6rXaZdwsygHeuQg,58,10,4.3,18,0
TganG8st3IE9uEmo-aGb6Q,51,1,5,6,15
5j7qmDZTAetaH0yXFnAFyw,64,96,3.3,146,3
PStPNRYZ6PQ9iSMtNDWhdg,29,2,5,1,0
dvZiYJ3bZQ2NFlT16z8KSw,28,3,2.67,8,0
p89aBKUmIxlmIzfVGfNcwQ,23,1,1,4,0
b9txcGNaBytyTPav072mGw,37,5,5,4,0
oQSMLWbZxeFJ2RoIibtoqw,37,2,3,1,0
NXewRPjoqPjFSYOjwYNTZQ,67,78,3.1,955,7
qgnequH3yIsYVJAjlazTGg,44,5,4,21,2
Op4O95STIw7GMZCocd8fDQ,24,2,4,10,0
3Z2c8dL_nRXc7dd5_sFsPw,67,68,3.99,125,9
7IWNzfnDVs16lcQaoOk4lg,50,27,3.43,28,1
XZR18aCHdKbZRkrWtBIsUw,72,2,4.5,2,3
#NAME?,64,98,4.27,283,4
3PleJJEDyGLIWqaW7JlTyQ,85,29,3.89,69,49
AiAUF1pkXWF-o6US7wV23w,11,1,5,0,1
Vgo3sCbziYzH_Ox6IJKMaw,19,15,3.88,5,1
cTaAK6N4REWVu_ruCQLHfg,40,4,3.67,9,0
ApWNDrDgb1Os9_tIoi2C9Q,44,5,1.67,14,1
STRH5HCQ9lkCMNy5R7pq9Q,63,46,3.46,156,23
VYozXkxMg6IMCsKj_a4uUQ,13,2,5,2,0
0mWipR5QK1ngT8F3bfzS8w,21,10,3.8,3,0
EwErnWwZjkLnZ_zHbBWBzQ,49,14,3.64,48,0
HW-cL93tvU7qng1sZueKWw,80,1317,3.83,22106,281
lpyN2FydeLSpENyU1klW0g,86,68,3.68,34,2
4jRLws6kVf7pm21p9k0eCQ,24,3,3.67,2,0
DWXFv34dnuv51HZPx9-j7A,34,3,4,3,0
73C6WVYXZPS2o-Pdsb471Q,25,1,1,2,0
Nj4hLqsNh0vpIt0-HwakHA,39,11,3.91,22,3
ZGNvNExS1qork2ExB9FBmg,20,6,3.83,3,0
wM7Tn1vK_tFSQDLtoGOsUg,19,2,4,0,0
f1IoewKh2HyikL_5QgFJjA,19,5,2.4,8,0
0opYZUU5nZNh8nVa439mkA,12,3,5,1,0
bc3SCW1ccSPWbmGtcpeExg,58,2,5,6,0
BenSpFjwd0aZTQ59SeDnIg,27,5,2,15,0
XXdvhxHMfGrPx5EQ_gHMVg,41,5,3.8,11,0
E9jtD7EFBRQDaswk6goqDg,46,52,4,74,4
e9WDZ_uij_JoMqOVXAifgA,41,5,4.33,5,0
TqahS1scso6SLS-vuwUFrQ,26,1,5,1,0
eEVVKWD6BmcpTj1_EpT2sg,51,3,3.33,1,0
TWHNUYiwYgEyDFVoUobJwQ,14,4,4,2,0
z9itXf8rCW3KjgcCECOs3g,84,75,3.32,190,0
Rch6I5iG_JjWYowvGDe78A,37,1,4,0,0
RvZks2VBHdym25_d6I8YGw,37,10,3.89,17,0
ap-xytOsXjrlEf4MUybyZA,20,5,4.2,1,0
SjYyh0D9DfBTaMEPYcAPdw,54,2,5,3,1
vEbZYnH3j5w2CQBt_xbbvw,21,2,4,2,0
Xp2PGQp5gTQwBKWaHMO1ug,34,5,4.8,18,1
tUW8fnf-7jqdxj_k-50CPA,30,6,4.67,8,0
fmIE7XsIenncwgtGTUCWcQ,62,93,4.02,183,8
Xzmxb63jDy4NzkfWm2A_UQ,24,4,4.75,7,0
jJY5CRu-yoU_wKm_Hn1KbA,8,6,3.33,2,0
E6kGBTy2gdRmpKmi4Wd2dw,36,3,3.33,2,0
qnj4hUBiIv1KfwRLs-4uBQ,51,9,4,17,0
3G4ycZrWh--TgnkzSBm61Q,37,1,2,0,0
hRBYI3ivAnMal813a6KZ5A,30,10,4.86,6,0
plZzfJNKC-LFIIu8kP_Rgw,37,2,5,8,0
Dn_6WMxHh-kcZhk3KTkdGQ,57,3,4.67,6,0
Fa0cKTkPhxdYi9HpcuQh8g,49,8,3.62,16,2
O7zDKEFvvfPAgems62cCIw,17,1,4,0,0
aO2PpD3dhn5kmwyr_QUh3w,15,1,5,0,4
KC6WJm_I-9tvNL2wY9Q3QA,33,5,4.6,1,1
pYXWo61PkIKYq5W-derECQ,41,4,4.75,5,0
VP7upB0PNO8OrVTA8jm8qA,77,12,3.83,10,1
bb9EVHRnPCOmjMbp_BxI3A,12,3,4.33,0,0
06FvM-0mpGxQSfoV4Em7bg,29,53,3.85,71,3
WECX9KVt9iaJSqbu_hRDjw,29,3,4.67,4,0
zKVrFcAqiR2faJXL0BOl2g,34,1,5,0,1
e-AnQVet4CihFo0xczSN4w,40,2,3,1,0
FFzadNTcO4mwRSELjBq9Cw,71,14,4.21,25,0
5mOO95EHwbvMb5epfWfmBA,33,4,5,3,0
ypGUN6D_D9wIePnu0weXmQ,15,1,5,0,0
llH4Nbn0uHOTLCCQctwSrg,20,1,2,1,0
GImAFVzC2EQ55mwMixa6JQ,35,1,5,2,3
4U1fW-a2o9OGWUjhz7n2Zw,58,16,4.94,37,0
jsuh78cyGKaeFubbt3GbcA,24,1,1,3,0
RFo1ZzWJ2yUxAdL1dUl9uQ,24,1,1,0,3
8D408fDn0twwIW6FZ42YWg,47,29,3.14,88,1
q748QtC81tYY9AdmYy8K9g,27,3,5,12,0
2XJdKllI06zG_KtZ-BVxUg,47,2,2.5,0,2
GPek49ZSHzG69ed_KbY-Zg,63,92,3.83,61,1
XkDiyDjqWNmk_5dwIiRQ8g,23,1,4,9,14
dXSBS24lhX9SjrFs8Nxo6g,21,1,1,0,3
xZMxQPd6cqd3S1p3Rw4IYQ,63,28,4.64,39,0
FzZMm9blWp1_a4uX3DRXew,26,7,3.17,17,0
4QUliUqqJHv0L8rcb4Oe7Q,18,7,2.86,11,0
SW20kUuXCYpm5LJzlQMzWw,25,5,4.5,4,0
QIvlDxgIzdCyW_1CztPUjw,76,37,3.95,100,0
6R6F2DcN3QslZPf20eqo2g,32,6,4,2,0
3BpeKXH2LHF5X2TJKkZJrw,37,12,2.92,4,0
f2vSByeyI8_MzKUiqFqCbw,66,8,4.62,30,2
uEWZl4BK_Tde6pKxNjXy2g,59,488,3.69,728,3
HhopksQcVyVX5tw2kPiS1Q,37,13,3.46,6,0
EQg06zguYjudJKeu4zjHAQ,94,32,3.66,46,0
oty46vHhHK9xsgrDxGSKCw,23,1,4,1,0
YEMqhZktw_EMLhWvp6SHrA,21,5,4.6,0,0
aqqbh1NZoFk48kp0eqSLdg,79,8,4.75,37,0
TocDkq1UljoZ9_Q0cR-3eQ,30,24,4.1,14,6
p7oREbtJKOZrNlrkAYbZ_g,61,7,3,35,1
36qYhoTEx_XxY4d_L-O_-Q,75,23,4.12,29,0
g3Ki_WNI54Eu3Tsnma9iYQ,50,25,3.08,72,1
RPlD7tlYyO7QNfRkBSugeA,27,9,4.44,16,0
lyvI4akZ5_XQrp-06MVMlA,49,5,5,17,2
HHdpuYyrL0G8Y13abB076g,21,2,5,0,0
uG3SSPUfkUGLzHAUGDtg8w,31,4,3.75,21,10
oBwb6ViGFerK2ATjGEOywA,51,4,4.25,1,16
QRQAruRsz9M9GOLn8b22pQ,17,10,3.6,22,0
#NAME?,26,8,3.56,18,0
Au-yOKBLafFYsdVEDSzPew,23,1,1,8,0
0ENpugx_ZHN-hZu1NvOQ6Q,82,3,3.67,1,2
JR7FoIRiM8rVHNLMv9xsmg,7,1,1,0,0
0clhhTKZhUSUyf-Ivkcl_Q,39,4,2.33,21,48
UxRuW9FIrn65POpRsV-eLg,87,404,3.95,1013,6
GEUB60m_nnllpbGSJV1oAw,64,17,3.12,34,0
eleS0QegOhi-XT7e65DHVA,36,34,4.09,41,5
4MPooE56H7rZV4O9la7eXA,49,2,4,4,5
HpKLR1mrb634jCnTXQr3aA,45,83,3.83,276,19
4IxHjaLEKtLiIGRMUT8plQ,11,4,4,4,0
D-ZHPaSihu4SNzV0xw1nnA,92,127,3.47,311,0
TTC8b2uayW0QznMnaXHP6g,67,44,3.87,52,1
HBSvXwIK1JC6SRGizmbSeA,23,12,3.58,6,0
XhN6M_IOtLw3pANLI9s0MQ,12,2,2,3,0
9dRgAKZIFoa5yu8aP4xSsg,12,3,3,1,0
IIY-SZiNv3siGKUWzVD_iw,15,36,4.06,8,1
X3NSW-4NkDKYzK7vRKqRQA,54,3,3.33,8,1
qcOqU2892rdhTXvCo-EiBw,51,3,5,0,0
CsdUVf3SbS03xGpD-_TaOg,50,5,4.2,11,0
jv90_r4pRbyo3aKIipj-OQ,10,1,4,0,5
6KZdYi8bZw4Od4C5VK1Wrg,61,174,3.9,200,1
eDw9HamGz_mxaVbBEyfByQ,22,1,5,0,1
vD18u8-HgqQwJKxlpL4vFQ,51,20,3.45,83,0
XwBwRIFEaWjT25bQew911Q,79,8,4.38,30,4
BKP8vEwsgghGysDXCYNykg,46,5,3.4,128,1
2TaOmpSCAmKob2YBOhvsIw,51,104,3.76,206,2
PuR5j1Eg9eQ0rgqf41sOiA,24,2,5,4,0
KM7Z80w-mhd9ykNv43nznw,33,12,2.88,9,0
xsTlqAQ7TjNFIUl5ihK00g,23,111,4.22,1319,145
ynW1j1OXP9ztbasZclf4jg,62,6,3.75,12,3
HvYBXboFw-sx-2XqyjaDAw,16,1,5,0,0
JTZLScEGobbaeqgXNjrPeg,9,3,5,4,0
zKWGQ2kbJx8qwpfc9eIxig,77,13,3.54,27,2
wao4A9QFsxacwg3M0prbNw,48,3,3.33,1,0
41XI02t6XNXgolgk4tUjbw,9,3,5,1,0
9_kyYsnenlRvbiblBun_dA,32,4,3.25,0,0
9oSiU2b45v5HwkkvgrXYBg,53,11,2.55,25,0
550cb6mWIDtABn4EH8vg3g,12,4,4.33,3,1
2u_x05V1DbhXssdFzMXcGA,51,164,3.66,734,2
ge1JTvFwVmp7BUmOHP_qsg,53,15,3.38,20,1
ETPAIcI9UoJshaqV4BH2cw,30,3,4.33,4,0
NygAgmmUpyDgZjQ4XVsO4g,18,1,5,2,0
yYFbiYBJrOGDFSfjMlBBkw,39,1,1,5,4
xuVziz-7gQyBeqJzTNPaQQ,53,12,3.92,12,0
mSGCYGJB3TIjE92zVDmo0g,37,23,3.52,14,0
TPpfXJ-1usSy8-4hS7u7sw,18,3,4,0,0
DirJsdKrWB82R3FnLDuaKg,52,15,4.47,73,1
O_gZaNkx70-3Afs3fN6ShQ,20,1,5,0,0
rjrw6MPxt9I5fowvir7A0Q,27,7,4,6,0
RAv_96VCB7UcU81rDxtnDQ,19,2,3,0,0
mbgppRfYH0kC7p7X2VPcGg,54,20,3.6,62,6
2Fw-CzZ_nRkmKPlHpYvoZw,24,3,4.67,3,0
ZQA2QuPRv_hs9Oit0DVnvg,19,3,5,1,0
lVFNr2k7ik0zbj7FO36B1w,29,1,5,1,0
HEUCV4mQHiLbbatWmYfWbQ,38,1,1,4,0
x54M9_rkBtJasR81pGc__g,55,29,3.17,64,1
U4vvxA_sY1EDB2JuJjHB8w,25,8,3.75,18,5
gq1z7gE9vp1SNMQAvT7Fjw,15,2,1.5,4,0
XM4eixpB3VzbWAMSN6jRQQ,48,2,5,4,5
rNW5ch2OAKUDzxTdWr2h4Q,25,3,2,16,0
AHU3OurJBzUo6CIFvzIXAw,48,14,4.07,14,0
y22xQxyqQ1oT1sum3s4Jrg,42,1,5,0,0
cTU1DSkKH8b1DyQbNIsW2g,51,178,3.13,535,0
V1po7TjUzklCpdZ3cOp4Og,86,28,4.63,38,20
iAZs9Hem8qpBM9TZVqEcVg,12,1,1,0,0
SbM_nNm7KyjEDiBPReGJxw,85,227,4.12,915,7
70uie50xwvzJs78DaXfOZQ,43,8,3,14,0
xNWuI4DDw4NMMEXnpy-g9w,47,19,3.53,62,3
SmDl7nRUwScvZvkILM9HpA,41,9,3,16,5
2-py2Ppb8hFBROPlvWLnMg,27,8,4.25,6,0
AVAXYKuhAeACh5A08V-Iaw,66,24,3.12,51,0
xsrXK6rDBQkMhiQuR1e-Lw,35,2,5,0,0
A0O7UHxcCJJXIYJDBGT_hQ,83,89,3.21,229,1
l4uFFd-MC4ei7JCM8V9qzQ,47,2,5,1,12
JNcF_t2yFBf_w3CxcaYJHQ,32,8,3,4,0
e4IaiDwiMiLOol7F_z-rpA,45,21,4.05,25,0
qgkjG87evbJwrWa0CC7grA,50,17,3.56,88,0
3MNjs3Fz3ZeIdShCaxP_Iw,74,3,3.5,4,0
uFOYBSZV2DZhNNPEePWbUQ,47,7,4.29,28,3
VwXShFqpiEIKIstKNbueZg,18,2,5,4,0
eWWv-1viDN319EexYJO-MQ,64,11,3,7,0
bZJsBsLtFJdhIZf-IRAEyg,24,2,1.5,0,0
OFaAdHEBwPHel6ZdrKgc6w,42,13,3,11,0
KTMqiNYmGBzenePbCVLa-g,40,111,3.51,116,1
yF9su8PqjDJe_ceBcop9BA,88,140,4.11,600,8
obrY8z8e4opupAzpzyT_eQ,24,1,4,0,0
62R1BC0B1Vko9IOlDRQS-w,23,5,3.25,8,0
YiTrAuaKH0QGBHYe0h18Gw,40,18,3.39,31,0
6EdnrehnMw_e7GeweY6pYA,9,1,5,0,0
H0nYlvGjMA9szTaqIwTwpg,68,49,3.8,76,17
5CttQfnbWHYaHH9ivMNBXw,45,18,3.7,32,7
TSIYBny18lIG05KYKNQVSw,11,2,3.5,2,0
ukcy2ST1m2RSxQMpcowq3w,50,4,4.5,0,3
iEuLOmNVXgwrn1fkqRedsA,71,22,3.95,77,6
Fm0EXFwIfDQoIm9RgcAOKQ,34,4,3.25,4,0
u11icoOGFVk0am2zZOa63w,62,10,3.5,2,2
uWZXxILSlzTbMvXE7DaEbA,35,3,3.67,4,3
wG140zh0vjgsIEdgT_UHPw,21,11,4.36,6,42
ihvoGlLIc0JZR2A-ZpMTxA,13,2,5,2,0
hnCf18XK8Cz0KQJZ6nLXFw,20,3,4.67,1,3
UV84UjfTaXHInfIRwAGF8Q,17,5,4,8,0
vRDh4sdDIFX0UMA8QbGbSQ,49,6,4.5,6,0
Zm7zFXOf4TQ6Jm7CWpm5SA,76,19,3.5,23,0
VQZJuN774kDR02biv6T4Sw,53,4,3.33,5,0
6M8u19QuC6Fo3TPvuGLfGQ,47,182,4.09,221,1
H2-bxqBvvtuKMf7Css3Hcg,18,3,4.25,7,0
kgsx5zQLgoxJSqn0pxsehQ,46,14,4.36,17,5
nvfdaLmEKNy-lCqbYbmhwQ,7,2,5,0,0
4r9rP4d71VCko2jr93g-yA,18,7,3,10,0
q7QZcEJXpNzzmPhym0tCyA,60,3,3,0,0
CjwrNXuVnhYpLfd9cYOQyA,36,5,2.6,13,0
Pd8-OJ8JuVrEXhTSrnNDyw,15,1,5,1,0
bZN1xlzl_fNA7ihgwd9YjA,21,18,4,12,1
Qi2u6I_VY1WiGJ60tu_AfQ,14,1,2,0,0
9ExqqAOtRIvAsOBdKuAqCA,42,3,4,6,14
XtVk1s9I7gzrrgZuaAyGRQ,21,3,5,8,2
JlIFNlISvKrjMHgj1PiK1w,13,3,4.33,4,0
IpHX4xlV11_u7Is5fqYu3Q,18,2,5,0,0
ZweZv5fEsl1crf8zG92W3Q,42,4,4.75,8,4
4V9Hb-Sya2YQjt5m-BdxbA,38,16,4,17,0
IE_nJq65Qpso5fN4tG9zjQ,97,113,3.67,310,6
xf0vX9BI5-nLbOmWiy6dhQ,19,3,2,14,0
Hnlxl7kQRem4uOnbgLEcIQ,102,35,3.8,41,0
YxYi0TSYGZUipJQq5sUriw,46,21,3.52,46,7
